Depart,Return,Year,Length_days,VID,Passengers
07/10/2009 7:00 AM,07/10/2009 6:00 PM,2009,0.46,064,5
05/20/2009 8:00 AM,05/21/2009 4:00 PM,2009,1.33,082,7
05/17/2009 7:00 AM,05/22/2009 11:00 PM,2009,5.67,066,5
05/01/2009 3:00 PM,05/02/2009 11:00 PM,2009,1.33,092,5
05/04/2009 6:00 AM,05/04/2009 7:00 PM,2009,0.54,052,5
05/06/2009 6:00 AM,05/06/2009 7:00 PM,2009,0.54,053,5
05/15/2009 7:00 AM,05/15/2009 5:00 PM,2009,0.42,092,5
05/01/2009 3:30 PM,05/04/2009 3:00 PM,2009,2.98,072,7
05/01/2009 2:00 PM,05/02/2009 9:00 PM,2009,1.29,082,7
05/01/2009 4:00 PM,05/02/2009 10:00 PM,2009,1.25,092,5
05/05/2009 4:00 PM,05/05/2009 10:00 PM,2009,0.25,073,12
05/04/2009 9:00 AM,05/04/2009 1:00 PM,2009,0.17,034,12
05/05/2009 3:00 PM,05/06/2009 2:00 AM,2009,0.46,064,5
06/02/2009 7:00 AM,06/03/2009 5:00 PM,2009,1.42,055,7
05/06/2009 12:00 PM,05/06/2009 11:00 PM,2009,0.46,064,5
05/07/2009 7:00 AM,05/07/2009 5:00 PM,2009,0.42,052,5
05/20/2009 12:00 PM,05/20/2009 4:30 PM,2009,0.19,073,12
05/28/2009 7:00 AM,05/28/2009 5:00 PM,2009,0.42,066,5
05/06/2009 5:00 AM,05/06/2009 8:00 PM,2009,0.63,066,5
05/07/2009 6:00 PM,05/07/2009 10:00 PM,2009,0.17,046,12
05/07/2009 7:00 AM,05/07/2009 1:30 PM,2009,0.27,034,12
05/08/2009 11:00 AM,05/09/2009 10:00 PM,2009,1.46,064,5
05/13/2009 6:00 AM,05/14/2009 11:00 PM,2009,1.71,052,5
05/18/2009 5:00 AM,05/18/2009 9:00 PM,2009,0.67,092,5
05/11/2009 7:00 AM,05/11/2009 6:00 PM,2009,0.46,092,5
05/08/2009 3:00 PM,05/09/2009 5:00 PM,2009,1.08,052,5
05/12/2009 7:00 AM,05/12/2009 7:00 PM,2009,0.5,062,5
05/08/2009 5:00 PM,05/09/2009 7:00 AM,2009,0.58,071,5
05/14/2009 10:00 AM,05/14/2009 6:00 PM,2009,0.33,092,5
05/11/2009 4:00 PM,05/12/2009 10:00 AM,2009,0.75,064,5
05/14/2009 7:00 AM,05/14/2009 1:00 PM,2009,0.25,046,12
05/14/2009 7:00 AM,05/14/2009 5:00 PM,2009,0.42,062,5
07/17/2009 8:00 AM,07/18/2009 8:00 PM,2009,1.5,046,12
05/18/2009 6:00 AM,05/18/2009 7:00 PM,2009,0.54,062,5
05/18/2009 6:30 AM,05/18/2009 10:00 PM,2009,0.65,071,5
07/16/2009 10:00 PM,07/18/2009 4:00 PM,2009,1.75,072,7
05/14/2009 10:00 AM,05/14/2009 4:00 PM,2009,0.25,071,5
05/19/2009 7:00 AM,05/19/2009 3:00 PM,2009,0.33,092,5
05/17/2009 5:00 PM,05/20/2009 7:00 PM,2009,3.08,071,5
05/25/2009 12:00 PM,05/26/2009 5:00 PM,2009,1.21,065,5
05/18/2009 8:00 AM,05/18/2009 5:00 PM,2009,0.38,073,12
05/20/2009 7:00 AM,05/21/2009 5:00 PM,2009,1.42,064,5
08/17/2009 10:00 AM,08/21/2009 5:45 PM,2009,4.32,095,12
08/17/2009 7:00 AM,08/21/2009 5:45 PM,2009,4.45,046,12
05/18/2009 1:00 PM,05/19/2009 5:00 PM,2009,1.17,065,5
06/10/2009 7:00 AM,06/11/2009 6:00 PM,2009,1.46,066,5
06/17/2009 7:00 AM,06/18/2009 6:00 PM,2009,1.46,066,5
06/24/2009 7:00 AM,06/25/2009 6:00 PM,2009,1.46,066,5
07/01/2009 7:00 AM,07/01/2009 6:00 PM,2009,0.46,066,5
06/10/2009 7:30 AM,06/10/2009 5:30 PM,2009,0.42,092,5
05/22/2009 6:00 PM,05/22/2009 11:00 PM,2009,0.21,052,5
05/24/2009 10:00 AM,05/24/2009 3:00 PM,2009,0.21,052,5
05/28/2009 12:00 PM,05/28/2009 6:00 PM,2009,0.25,052,5
05/27/2009 12:00 PM,05/28/2009 6:00 PM,2009,1.25,072,7
06/02/2009 5:00 AM,06/02/2009 8:00 PM,2009,0.63,066,5
05/28/2009 6:00 AM,05/28/2009 8:00 PM,2009,0.58,071,5
05/26/2009 8:00 AM,05/27/2009 10:00 PM,2009,1.58,034,12
06/10/2009 11:00 AM,06/12/2009 10:00 PM,2009,2.46,062,5
07/06/2009 8:00 AM,07/06/2009 10:00 PM,2009,0.58,073,12
07/03/2009 8:00 AM,07/05/2009 10:00 PM,2009,2.58,073,12
07/14/2009 12:00 PM,07/14/2009 10:00 PM,2009,0.42,034,12
07/21/2009 8:00 AM,07/21/2009 10:00 PM,2009,0.58,034,12
07/28/2009 8:00 AM,07/28/2009 10:00 PM,2009,0.58,034,12
08/03/2009 8:00 AM,08/03/2009 10:00 PM,2009,0.58,073,12
05/26/2009 1:30 PM,05/27/2009 11:00 PM,2009,1.4,082,7
05/28/2009 7:00 AM,05/28/2009 5:00 PM,2009,0.42,063,5
06/01/2009 9:45 AM,06/01/2009 1:00 PM,2009,0.14,071,5
06/04/2009 8:00 AM,06/04/2009 8:00 PM,2009,0.5,066,5
05/29/2009 8:00 AM,05/29/2009 2:00 PM,2009,0.25,062,5
06/01/2009 9:00 AM,06/01/2009 5:00 PM,2009,0.33,062,5
06/17/2009 7:00 AM,06/17/2009 3:00 PM,2009,0.33,062,5
06/11/2009 7:00 AM,06/11/2009 9:00 PM,2009,0.58,063,5
05/31/2009 11:00 AM,05/31/2009 5:00 PM,2009,0.25,052,5
05/29/2009 10:00 AM,05/29/2009 4:00 PM,2009,0.25,072,7
06/01/2009 6:00 AM,06/03/2009 8:00 PM,2009,2.58,092,5
06/03/2009 12:00 PM,06/03/2009 5:00 PM,2009,0.21,062,5
06/08/2009 8:00 AM,06/08/2009 6:00 PM,2009,0.42,092,5
06/22/2009 2:00 AM,06/24/2009 10:00 PM,2009,2.83,055,7
